lang,text
deu,"Vorplanungen für einen Taktfahrplan vom Taktknotenbahnhof Hechingen nach Gammertingen wurden in Auftrag gegeben. 2018 erfolgt die Prüfung des Betriebskonzepts der Zollernalbbahn, danach die Entwurfs- und Genehmigungsplanung. Die Elektrifizierung und der 30 Minutentakt der Zollernalbbahn wird dann im Modul 1 der Regionalstadtbahn Neckar-Alb realisiert."
deu,"Erst langsam begann man, sich mit den Briefmarken genauer zu befassen. Die Zahl der Briefmarken, die zur damaligen Zeit ausgegeben wurden, war noch sehr klein. Für den damaligen Sammler war es selbstverständlich, sogenannte Generalsammlungen anzulegen. Dies bedeutet, dass der Philatelist alle Briefmarken der Welt in seine Sammlung aufnahm. Dies wäre heutzutage bei der Masse der verschiedenen Briefmarkenausgaben undenkbar. In den frühen Anfangsjahren standen dem Philatelisten noch keinerlei Hilfsmittel oder Aufbewahrungsmöglichkeiten, wie Briefmarkenalben, zur Verfügung, was dazu führte, dass die Briefmarken oft durch unsachgemäße Aufbewahrung oder das behelfsmäßige Aufkleben postfrischer Marken beschädigt oder sogar zerstört wurden."
deu,"Allendorf liegt nur einige Kilometer nördlich des Reiskirchener Autobahndreiecks. Über die Auffahrten Reiskirchen oder Grünberg besteht Anschluss an die A 5, A 485 und A 45 in alle Richtungen. Über Staufenberg gelangt man auf die B 3 in Richtung Marburg und Kassel."
deu,"Die International Scientific Transcription, bzw. die Internationale wissenschaftliche Transkription basiert hauptsächlich auf dem lateinischen Kroatischen Alphabet der serbo-kroatischen Sprache. Die heute übliche wissenschaftliche Transliteration in der Slawistik beruht auf dem tschechischen Alphabet. Diese Transkription wird vor allem von Linguisten verwendet, wie z.B. bei Veröffentlichungen in der Slawistik. Diese stammt aus dem neunzehnten Jahrhundert, wo sie in das Bibliothekarische Regelwerk als Preußische Instruktionen ( PI) aufgenommen wurde. Dieses Regelwerk enthält die Leitlinien für Bibliotheken und wurde dort 1898 kodifiziert. Diese Leitlinien wurden später von der Internationalen Organisation für Normung (ISO), mit kleinen Unterschieden zu ISO/R 9 übernommen. Die notwendigen Diakritika auf Computern benötigen Unicode, Latin-2-, Latin-4- oder Latin-7-Kodierung. Andere verwendete slawisch basierte Umschriften beruhen gelegentlich auf dem Slowakischen Alphabet oder dem Polnischen Alphabet, die die Symbole für palatalisierten Konsonanten enthalten. National 1996 ist das offizielle System, das sowohl von der Ukraine selbst in ihren internationalen Außenbeziehungen und bei den Vereinten Nationen verwendet wird. Diese wird allgemein für die Umschrift von ukrainischen geographischen Namen verwendet, die vor 1991 fast ausschließlich nur unter ihrem russischen Namen bekannt waren. Dieses System basiert im Wesentlichen auf der Grundlage der englischen Rechtschreibung und dann zeigt viele Ähnlichkeiten mit der britischen Transkription."
deu,"Ursillo hielt sich um 1720 in Rom auf. Kurze Zeit später begegnete er dort oder in Neapel, dem Grafen Franz Ernst von Salm-Reifferscheid. Als dieser 1725 Bischof von Tournai wurde, blieb er in dessen Diensten. Ursillo wechselte häufig seine Stellen, so wirkte er ab 1730 in Frankreich, kam 1733 wieder in die Dienste des Bischofs von Tournai, war ab 1744 am Hof von Württemberg tätig, um ab 1746 wieder in Tournai zu wirken. Der Bischof garantierte ihm ab diesem Zeitpunkt ein Jahresgehalt von 1200 Pfund, zuzüglich Unterkunft, Nahrung, Lampenöl und Kleidung."
eng,"From the name of his grandson C. Sabucius Maior Plotinus Faustinus, who set up an inscription in his memory, it is clear his gentilicum is ""Sabucius Maior"". ""Sabucius"" is a rare Etruscan nomen (Anthony Birley provides two other known individuals of that gens), suggesting his origins lay in Italy and not one of the provinces."
fra,"La Link,, est dessinée pour la première fois en 1987 et nommée à l’époque S/el comme « Sport/Elegance ». En 2010 TAG Heuer propose une extension de cette collection avec le lancement de la Link GMT dotée d’une lunette magnétique calculant le deuxième fuseau horaire, ainsi qu'un modèle féminin."
pol,"Betelgeza jest czerwonym nadolbrzymem, należącym do typu widmowego M1-2. Jej rozmiar kątowy został zmierzony po raz pierwszy w 1921 roku, ale zależy on od długości fali i pulsacji gwiazdy, a dodatkowo niepewność wyznaczenia odległości utrudnia określenie rzeczywistej średnicy gwiazdy. Oceny z 2016 roku wskazują, że ma ona promień 887 ± 203 razy większy od promienia Słońca, czyli około 3–5 au. Gdyby znajdowała się na miejscu Słońca, to wypełniałaby Układ Słoneczny do orbity Jowisza. Jasność tej gwiazdy, przy założeniu odległości około 640 lat świetlnych, 105 tysięcy razy przewyższa jasność Słońca."
spa,"«Ferdinand Jacob Lindheimer». Índice Internacional de Nombres de las Plantas (IPNI). Real Jardín Botánico de Kew, Herbario de la Universidad de Harvard y Herbario nacional Australiano (eds.)."
eng,"The phylogeography of this group provides examples of various speciation mechanisms at work. In this scenario ancestors of this group became isolated from the remaining Ilex when the Earth mass broke away into Gondwana and Laurasia about 82 million years ago, resulting in a physical separation of the groups and beginning a process of change to adapt to new conditions. This mechanism is called allopatric speciation. Over time, survivor species of the holly genus adapted to different ecological niches. This led to reproductive isolation, an example of ecological speciation. In the Pliocene, around five million years ago, mountain formation diversified the landscape and provided new opportunities for speciation within the genus."
pol,"Będzin (niem. Bendzin, ros. Бендзин) – miasto w południowej Polsce, w województwie śląskim, siedziba powiatu będzińskiego, w Zagłębiu Dąbrowskim, będącym historyczną częścią zachodniej Małopolski, nad rzeką Czarną Przemszą, na Wyżynie Śląskiej, na terenie Górnośląskiego Okręgu Przemysłowego (GOP) i konurbacji katowickiej."
ita,"La Morgan Library & Museum è nata come collezione privata del banchiere John Pierpont Morgan. Il figlio di Morgan, J.P. Morgan Jr, convertì la collezione in un'istituzione pubblica nel 1924. Conserva un patrimonio di manoscritti rari, stampe e libri tra i più preziosi del mondo."
ita,"Carmen riesce a chiudere la casa e tutti rimangono senza abitazione. Un uomo di nome Pedro Vega dona il suo palazzo a Belén ed ella costruisce il nuovo orfanotrofio. Nonostante abbia una facciata attraente, i ragazzi scoprono alcuni posti inquietanti pieni di trappole e passaggi segreti, abitati da una donna misteriosa di nome Elena e da sua nipote Lucia. Belen introduce loro alla ""Finestra Magica"" (""La Ventatina de los Sueños"") e allo ""Specchio della magia"", in cui bisogna guardare con un solo occhio e i propri sogni si realizzano. Dopo un ristrutturamento della casa, il Tribunale dei minori permette ai orfani di vivere all'interno. Abitare con Elena diventerà molto difficile in quanto vuole che i bambini se ne vadano dalla casa. Col tempo, invece, la nipote diventerà parte della famiglia."
nld,Een eenvoudige variant van de reguliere expressie is in veel besturingssystemen te vinden als de jokertekens die gebruikt kunnen worden bij het zoeken naar bestandsnamen.
fra,"Après avoir soutenu la création de plusieurs institutions religieuses, il donne en 1828 des directives au clergé du diocèse à l'aide de son Ordonnance de Mgr de Lesquen, évêque de Rennes, pour régler la discipline de son diocèse, imprimé à Rennes. Cet imprimé de 260 pages incite particulièrement les recteurs à recenser l'histoire de l'église et tout ce qui est susceptible d'améliorer la qualité de leur service. Il publie également un Catéchisme à l'usage du diocèse en 1840."
nld,Halectinosoma distinctum is een eenoogkreeftjessoort uit de familie van de Ectinosomatidae. De wetenschappelijke naam van de soort is voor het eerst geldig gepubliceerd in 1920 door Sars G.O..
ita,"Jean-Louis-Théodore Bachelet (Pissy-Pôville, 15 gennaio 1820 – Rouen, 26 settembre 1879) è stato un lessicografo, bibliografo e musicologo francese."
fra,Notices d'autorité : Fichier d’autorité international virtuel • International Standard Name Identifier • Système universitaire de documentation
eng,"Stuhler, Barbara. ""Organizing for the Vote: Leaders of Minnesota's Woman Suffrage Movement,"" Minnesota History 54, no. 3 (Fall 1995):290-303."
spa,"En 1994 participó en la inauguración del Teatro de las Artes de la Ciudad de México interpretando el papel de Roggiero en la histórica representación de Ildegonda, del compositor mexicano Melesio Morales. Pasaron 128 años para que dicha obra fuera reinterpretada.[3]​ La representación de Ildegonda se grabó en discos compactos, los cuales ganaron el premio del Orfeo de Oro otorgado por la Academia del Disco Lírico de Francia."
eng,"The Minnesota Woman Suffrage Association (MWSA) was an organization devoted to women's suffrage in Minnesota. From 1881 to 1920, the organization struggled to secure women's right to vote. Its members organized marches, wrote petitions and letters, gathered signatures, gave speeches, and published pamphlets and broadsheets to force the Minnesota Legislature to recognize their right to vote. Due to their efforts, the legislature approved the Nineteenth Amendment in 1919."
eng,"Woodruff began writing and producing music in 2006, which incorporated roots reggae with dub, a subgenre of reggae. As a freshman in college, Woodruff began submitting instrumental tracks to the Sublime Archive website and consequently adopted the moniker Stick Figure, which was a take on his high school nickname."
eng,"Some of the local issues Hanna was known to campaign for were: upgrading the Oaklands rail crossing, making Glenthorne a forested recreational park, and turning the old O’Halloran Hill TAFE site into a high school."
pol,"Absolwent technikum rolniczego. W wyborach parlamentarnych w 2001 kandydował do Sejmu z okręgu krakowskiego, mandat poselski objął 18 czerwca 2004 w miejsce Bogdana Pęka (wybranego deputowanym do Parlamentu Europejskiego)."
fra,"Selon les auteurs antiques se reposant sur la tradition la plus tardive, les Romains auraient envoyé aux Gaulois des émissaires pour les dissuader d'entrer en guerre (ad exorandos Gallos). Les négociations se seraient prolongées durant toute la saison de campagne de 284 av. J.-C., jusqu'à l'hiver. Ces ambassadeurs auraient finalement été exécutés par les Gaulois Sénons, poussant les Romains à organiser une expédition punitive menée par le praetor in absentia Lucius Caecilius qui aurait vu son commandement prorogé,. Le meurtre des legati romains constituerait le casus belli mais cette version semble peu cohérente. En effet, Lucius Caecilius étant déjà sur place, ce n'est pas cette raison qui a déclenché l'expédition. De plus, elle doublonne la version de Polybe qui place l'exécution des legati envoyés par Manius Curius Dentatus après la mort de Lucius Caecilius."
fra,"L'entartage de Philippe Douste-Blazy, en 1995, a également donné lieu à un dépôt de plainte contre Noël Godin, mais le procès a débouché sur une relaxe."
pol,"W lidze występuje 16 zespołów. Podzielone są one na dwie grupy, grając systemem ligowym (tj. ""każdy z każdym, mecz i rewanż"") w swojej grupie. Dwa najlepsze zespoły awansują do play-off. Zwycięzcy spotkań awansują do División de Honor. Dwa najsłabsze zespoły z grup rozgrywają baraże. Przegrani spadają do I ligi, a wygrani rozgrywają spotkania ze zwycięzcami I ligi."
pol,"W myśl ustaleń Okrągłego Stołu w wyborach do „Sejmu kontraktowego” w 1989 Stronnictwu przyznano 27 mandatów poselskich. Po niepowodzeniu misji utworzenia rządu przez Czesława Kiszczaka SD zawiązało koalicję z „Solidarnością” oraz Zjednoczonym Stronnictwem Ludowym i współtworzyło pierwszy demokratyczny rząd Tadeusza Mazowieckiego, przez co PZPR znalazło się w mniejszości i straciło kierowniczą rolę w państwie. Z ramienia Stronnictwa w rządzie zasiedli wówczas: prof. Jan Janowski (wicepremier i kierownik Urzędu Postępu Naukowo-Technicznego i Wdrożeń), Aleksander Mackiewicz (minister rynku wewnętrznego) i Marek Kucharski (minister odpowiedzialny za stworzenie resortu łączności). Wicemarszałkiem sejmu reprezentującym Stronnictwo Demokratyczne została Teresa Dobielińska-Eliszewska. W tym samym roku, na wniosek Klubu Poselskiego SD przywrócono tradycyjną nazwę państwa polskiego – „Rzeczpospolita Polska”. Rok później, również na wniosek SD, przywrócono przedwojenne godło państwowe."
pol,"Stefan Antoni Nowak (ur. 8 lutego 1939 w Przybysławicach) – polski polityk, poseł na Sejm IV kadencji, działacz Polskiego Stronnictwa Ludowego."
nld,"Tussen een kruising in het westen van Bischofswerda waar de B6 aansluit op de B98 een kruising met de B156 in het oosten van de stad Bautzen is de weg Vervangen door de B98, de A4 en de B156."
nld,Athyreus larseni is een keversoort uit de familie echte mestkevers (Geotrupidae). De wetenschappelijke naam van de soort is voor het eerst geldig gepubliceerd in 2002 door Howden.
eng,"Kursk is an upcoming English-language French-Belgian drama film directed by Thomas Vinterberg based on Robert Moore’s book A Time to Die, about the true story of the 2000 Kursk submarine disaster. It stars Matthias Schoenaerts, Colin Firth, Léa Seydoux, Peter Simonischek, Max von Sydow, Matthias Schweighöfer and Michael Nyqvist (in his final film role)."
por,"Após a eliminação, Katie se apresentou em vários talk shows. Ela apareceu no The Ellen DeGeneres Show e cantou a canção ""Over the Rainbow"" e, com Andrew Garcia (eliminado na mesma semana de Katie), no Late Show with David Letterman onde cantaram ""Superhuman"" do Chris Brown com Keri Hilson. Os dois ainda se apareceram no The Wendy Williams Show onde ela cantou ""Big Girls Don't Cry""."
ita,"La città di New York è divisa amministrativamente in cinque borough coincidenti, a fini giudiziari, con altrettante contee. Ogni borough si divide poi in numerosi quartieri, molti dei quali con una ben definita identità."
eng,"Mohammad Aamer Sohail Ali (Urdu: محمد عامر سہیل علی‬‎; born on 14 September 1966) is a former Pakistani cricketer and a former PCB Chief Selector. With Saeed Anwar, he formed one of the best opening combinations Pakistan has ever had."
fra,"Le premier véritable club de rugby français est le English Taylors RFC, fondé par des hommes d'affaires anglais à Paris en 1877, suivi par le Paris Football Club l'année suivante. Ce dernier a une durée de vie éphémère. Sa scission entraîne la formation du Racing club de France en 1882, du Stade français en 1883 (ou 1887) et de l'Olympique en 1888, entièrement ou en partie par des Français."
deu,"Die Liste der Straßennamen von Soltau listet alle Straßen der Stadt Soltau inklusive der 16 zugehörigen Ortsteile auf. Die Liste enthält neben dem Straßennamen und der Zuordnung zu einem Ortsteil außerdem eine kurze Erklärung zur Herkunft des Namens und das Datum der Straßenwidmung, dies ist gerade bei älteren Straßen jedoch nicht mit dem Tag der erstmaligen Benennung oder dem Bau der Straße zu verwechseln."
por,"Embora Awamori seja um destilado de arroz, ele é diferente do shochu japonês de várias maneiras. Awamori é feita em uma única fermentação, enquanto shochu normalmente usa duas fermentações. Além disso, Awamori usa grãos longos de arroz tailandês, em oposição aos grãos curtos de arroz japonês usados no shochu. Finalmente, awamori usa exclusivamente o fungo do tipo koji preto (Aspergillus awamori), endêmico à Okinawa, enquanto o shochu usa fungos koji branco (aspergillus kawachii), preto e amarelo (Aspergillus oryzae)."
pol,"Będzin posiada bardzo dogodne połączenie drogowe z resztą kraju – leży na skrzyżowaniu dwóch ważnych tras szybkiego ruchu: drogi krajowej nr 94 z Wrocławia do Krakowa z drogą krajową nr 86 z Katowic do Warszawy, która 11 kilometrów dalej łączy się na węźle Podwarpie z drogą ekspresową (międzynarodową) S1/E75. Przez miasto przebiega także droga wojewódzka nr 910 (al. Kołłątaja – ul. Czeladzka; część dawnego szlaku Kraków-Wrocław)."
ita,"Armin Zöggeler (Italia, slittino singolo) diventa il primo atleta azzurro in assoluto a vincere 4 medaglie in quattro Olimpiadi consecutive (bronzo a Lillehammer, argento a Nagano, oro a Salt Lake City e a Torino)."
deu,Das Richard-Wagner-Denkmal im Großen Tiergarten in Berlin-Tiergarten ist ein vom Bildhauer Gustav Eberlein 1901 bis 1903 geschaffenes monumentales Sitzdenkmal für den Komponisten Richard Wagner. Es befindet sich gegenüber der Indischen Botschaft in der Tiergartenstraße.
deu,"Noch während des Dreißigjährigen Krieges, mit wechselhaften Besatzern von Mainz und Umgebung (u. a. auch Schweden Übergabe von Mainz am 23. Dezember 1631 und Kaiserliche), drangen die Franzosen unter dem Kommando des Vicomte de Turenne 1635 bis Mainz vor, wo er Bernhard von Sachsen-Weimar entsetzte. Aufgrund von Geld- und Proviantmangel konnte die Stadt nicht gehalten werden und fiel am 17. Dezember 1635 an die Kaiserlichen. Am 17. September 1644 wurde Mainz nach französischer Belagerung erneut französisch. Als die Garnison durch die Türkenkriege geschwächt war, kamen die Franzosen wieder und verwüsteten und okkupierten 1688 ohne Kriegserklärung die linksrheinischen Gebiete bis zur natürlichen Rheingrenze inklusive Mainz. Die besetzte Stadt wurde 1689 im Pfälzischen Erbfolgekrieg von Reichstruppen belagert und zurückerobert."
nld,Philocaenus jinjaensis is een vliesvleugelig insect uit de familie Pteromalidae. De wetenschappelijke naam is voor het eerst geldig gepubliceerd in 1994 door van Noort.
fra,Notices d'autorité : Fichier d’autorité international virtuel • International Standard Name Identifier • Bibliothèque nationale de France (données) • Bibliothèque du Congrès • Gemeinsame Normdatei • WorldCat
eng,"Demotic ownership of productive resources is a kind of ownership which leads to the politicisation of the economy, the real synthesis of economy and polity. This is so because economic decision making is carried out by the entire community, through the demotic assemblies, where people make the fundamental macro-economic decisions which affect the whole community, as citizens, rather than as vocationally oriented groups (e.g. workers, as e.g. in Parecon). At the same time, workers, apart from participating in the demotic decisions about the overall planning targets, would also participate (in the above broad sense of vocationally oriented groups) in their respective workplace assemblies, in a process of modifying/implementing the Democratic Plan and in running their own workplace."
deu,"ein Schulflugzeug für Anfänger (basic combat trainer) mit der Bezeichnung BC-54D, aus dem später die BT-13 entstandRichard W. Palmer begann 1938 mit der Ausarbeitung des Jagdflugzeuges V-48. Das mit einem luftgekühlten Pratt & Whitney R-1830-Sternmotor ausgerüstete Flugzeug besaß einen metallbeschichteten Halbschalenrumpf (semi-monocoque) und ein vollständig einziehbares Fahrwerk. Während des Baus des ersten Prototyps wurde entschieden, die Propellerwelle zu verlängern und eine konische Motorhaube zu verwenden, um den Luftwiderstand zu verringern. Das erste Flugzeug mit der Registriernummer NX21755 startete erstmals im September 1939. Dieses Jagdflugzeug erhielt die Bezeichnung „Vanguard“."
nld,"Londen werd op 6 juli 2005 in Singapore door het IOC gekozen als de gastheer voor de Olympische Spelen van 2012. Andere kandidaten waren: Parijs, New York, Madrid en Moskou. In de eerste ronde viel Moskou af, in de tweede ronde New York, in de derde ronde Madrid en ten slotte ook Parijs."
ita,"Nell'annata 2014-2015 viene aggregato alla prima squadra e viene impiegato come portiere titolare di Copa del Rey, disputando tutte le partite della manifestazione sino all'eliminazione dei catalani in semifinale per mano dell'Athletic Bilbao. Nella stessa stagione esordisce anche in Liga BBVA, subentrando a partita in corso durante la trasferta sul campo del Siviglia.Nella stagione 2015-2016, in seguito alla cessione di Kiko Casilla, diventa il portiere titolare anche in campionato."
fra,"Une maison en pierre de taille de deux étages est située au 41 de la rue. Un quartier à haute qualité environnementale (HQE) est situé entre la rue Crozatier, le passage Brulon, la rue de Cîteaux et la rue du Faubourg-Saint-Antoine."
fra,"Noël Godin, surnommé Georges Le Gloupier — en référence à un personnage imaginaire et multiface créé par Jean-Pierre Bouyxou — ou l'Entarteur, né à Liège le 13 septembre 1945, est un agitateur anarcho-humoristique belge."
deu,"Im Januar 2006 gab die Organisation Tasmanian Land Conservancy Pläne bekannt, die Wälder für einen Preis von 1.3 Millionen Australischen Dollar von den privaten Eigentümern zu kaufen. Der Geschäftsmann Dick Smith stiftete AU$100,000 für den Kauf."
ita,"È durante tale attività che, nel 2011, viene colpito da un grosso ramo al capo e perde la vista. Inizia quindi a giocare a goalball e torball con gli ""Omero Runners Bergamo"" e, nel 2013, si avvicina al mondo dell'atletica leggera paralimpica, specializzandosi nel lancio del disco e nel getto del peso."
eng,"Thomas Richard ""Tom"" Hamilton Jr. (born December 31, 1978, in Philadelphia, Pennsylvania) is an American songwriter, musician, and producer best known as the lead vocalist and guitarist for the bands Brothers Past, American Babies, Joe Russo's Almost Dead, Bill Kreutzmann's Billy & the Kids, and Electron."
por,"Em 2000, ele foi convidado por Paulo Caldas e Marcelo Luna para participar do documentário ""O Rap do Pequeno Príncipe Contra as Almas Sebosas"", como protagonista e compositor da trilha sonora."
eng,"SBI Route 72 originally ran from Lanark to Starks. It was extended east in 1937 and 1938 to East Dundee, and then to Chicago. In 1968, the designation of IL 72 was truncated back to IL 43 (Harlem Avenue), lopping off 10.5 miles (16.9 km). In 1982, it was shortened again, this time to Illinois Route 73."
spa,"Los orígenes de la compañía de San Pablo están vinculados a la ciudad de Milán y con la realidad italiana de los primero años del siglo XX. En 1925 el papa Pío XI confió a esta comunidad la gestión administrativa del Osservatore Romano y esto determino que la nueva experiencia apostólica fuera conocida más allá de las fronteras del país de origen. Los primeros paulinos se destacaron por un empeño de carácter social. Crearon escuelas profesionales, organizaron los círculos juveniles, promovieron la creación de bibliotecas, comedores populares y casas de asistencia para madres solteras. En un contexto histórico colocado entre las dos guerras mundiales y en una situación de carencia y necesidad la obra de la compañía conquisto el interés de la sociedad y se convirtió en un puente de unión entre creyentes y ateos.[4]​"
pol,"W 1897 wstąpił do krakowskiego Towarzystwa Artystów Polskich „Sztuka”. W latach 1897-1906 podróżował po zachodniej Europie zwiedzając Holandię, Belgię, Włochy, Anglię, Niemcy i Francję. W roku 1906 został profesorem Akademii Sztuk Pięknych ASP w Krakowie. W 1908 podczas pobytu we Francji zaprzyjaźnił się z Pierre’em Bonnardem i Felixem Fénéonem. Kolejne wakacyjne wizyty we Francji zaowocowały szeregiem obrazów i akwafort przedstawiających widoki Concarneaux, St. Valery en Caux, Collioure, Saint-Tropez, Vernon i Giverny. W tym okresie pozostawał pod silnym wpływem twórczości Paula Cezanne’a. Zaświadcza o tym m.in. seria martwych natur w tym najznakomitsza Martwa natura z owocami i nożem (1909)."
